scheme,pad,coarse_face_pad,interface,sigma,cfl,rho,G500,maxRe
E6,3,3,same-level,0.0,0.25,1.000000000000008,1.0000000000000508,3.5388358909926865e-16
E6,3,3,same-level,0.0,0.5,1.0000000000000002,1.000000000000081,3.5388358909926865e-16
E6,3,3,same-level,0.0,1.0,1.0000000000000022,1.0000000000001266,3.5388358909926865e-16
E6,3,3,same-level,0.05,0.25,1.0000000000000029,1.0000170577589473,4.207111737637386e-17
E6,3,3,same-level,0.05,0.5,1.0000000000000009,1.0000028525662343,4.207111737637386e-17
E6,3,3,same-level,0.05,1.0,1.0000000000000013,1.0000007953230472,4.207111737637386e-17
E6,3,3,same-level,0.1,0.25,1.0000000000000018,1.0000494032395055,8.105518117085495e-17
E6,3,3,same-level,0.1,0.5,0.9999999999999938,1.0000082211838903,8.105518117085495e-17
E6,3,3,same-level,0.1,1.0,0.9999999999999997,1.0000031638269056,8.105518117085495e-17
E6,3,3,same-level,0.4,0.25,1.0000000000000022,1.0002782259425202,5.104948876842531e-17
E6,3,3,same-level,0.4,0.5,1.0000000000000016,1.000126814915733,5.104948876842531e-17
E6,3,3,same-level,0.4,1.0,1.0000000000000016,1.0000551974287069,5.104948876842531e-17
E6,3,3,2:1,0.0,0.25,1.002147219870579,8.716795113669416,0.00857967155458827
E6,3,3,2:1,0.0,0.5,1.0042990502943223,30.50819889271934,0.00857967155458827
E6,3,3,2:1,0.0,1.0,1.008616582421714,335.5107476537592,0.00857967155458827
E6,3,3,2:1,0.05,0.25,1.000147088407889,5.897055008904217,0.0006249088669849669
E6,3,3,2:1,0.05,0.5,1.0001059089476292,5.8932328982332916,0.0006249088669849669
E6,3,3,2:1,0.05,1.0,0.9999999999999999,5.89031281191333,0.0006249088669849669
E6,3,3,2:1,0.1,0.25,1.0000382421591736,5.645568708917257,0.00015434060865004984
E6,3,3,2:1,0.1,0.5,1.000055547044324,5.081136091206638,0.00015434060865004984
E6,3,3,2:1,0.1,1.0,0.9999999999999978,5.0740474018480946,0.00015434060865004984
E6,3,3,2:1,0.4,0.25,1.0000079718881958,4.978292307853505,3.2470673398649064e-05
E6,3,3,2:1,0.4,0.5,1.0000070085489066,3.4783059967149006,3.2470673398649064e-05
E6,3,3,2:1,0.4,1.0,1.0000000000000033,3.451209704984193,3.2470673398649064e-05
JTT6,3,3,same-level,0.0,0.25,1.0000000021649071,12.659505914048745,5.643049134192623e-10
JTT6,3,3,same-level,0.0,0.5,1.0000000032502863,25.149708639301345,5.643049134192623e-10
JTT6,3,3,same-level,0.0,1.0,1.0000000000000022,50.16822679922131,5.643049134192623e-10
JTT6,3,3,same-level,0.05,0.25,1.0000000411902674,2.9118568763157358,5.875019079559785e-07
JTT6,3,3,same-level,0.05,0.5,1.0000000000000464,2.5522682202117193,5.875019079559785e-07
JTT6,3,3,same-level,0.05,1.0,1.0000000000000013,2.5265679464066717,5.875019079559785e-07
JTT6,3,3,same-level,0.1,0.25,1.0000000896948524,1.8891145573110217,9.647006544155623e-07
JTT6,3,3,same-level,0.1,0.5,1.0000000000001132,1.7088981872742373,9.647006544155623e-07
JTT6,3,3,same-level,0.1,1.0,0.9999999999999999,1.621695503839101,9.647006544155623e-07
JTT6,3,3,same-level,0.4,0.25,1.0000000016193893,1.3328547446597256,6.76289803602792e-08
JTT6,3,3,same-level,0.4,0.5,1.0000000000000282,1.257194876020334,6.76289803602792e-08
JTT6,3,3,same-level,0.4,1.0,1.0000000000000022,1.1482832752280316,6.76289803602792e-08
JTT6,3,3,2:1,0.0,0.25,1.0012538744258148,20.28206765054385,0.005043394984499461
JTT6,3,3,2:1,0.0,0.5,1.0021231566599103,49.58377845666178,0.005043394984499461
JTT6,3,3,2:1,0.0,1.0,1.0042508211140415,183.7981311323468,0.005043394984499461
JTT6,3,3,2:1,0.05,0.25,1.0001301458188063,5.198601393675372,0.0005226561331301283
JTT6,3,3,2:1,0.05,0.5,1.0002284935824939,5.404278704030032,0.0005226561331301283
JTT6,3,3,2:1,0.05,1.0,0.9999999999999968,5.203974276361484,0.0005226561331301283
JTT6,3,3,2:1,0.1,0.25,1.0000803316587736,4.77633722817287,0.00032262576466304815
JTT6,3,3,2:1,0.1,0.5,1.000140755754862,4.0000012258609665,0.00032262576466304815
JTT6,3,3,2:1,0.1,1.0,1.0000000000002824,3.9020970701640505,0.00032262576466304815
JTT6,3,3,2:1,0.4,0.25,1.0000307801882187,3.9052671549952716,0.00012520316204804594
JTT6,3,3,2:1,0.4,0.5,1.000038346585567,2.8688628143330672,0.00012520316204804594
JTT6,3,3,2:1,0.4,1.0,0.9999999999999988,2.687432109483661,0.00012520316204804594
JTT6,4,4,same-level,0.0,0.25,0.9999999999999987,4.2914007410226604,3.064688112275528e-09
JTT6,4,4,same-level,0.0,0.5,1.000000004108904,8.221819391872797,3.064688112275528e-09
JTT6,4,4,same-level,0.0,1.0,1.000000004041706,16.24569807888051,3.064688112275528e-09
JTT6,4,4,same-level,0.05,0.25,1.0000000046156778,1.305759305636309,1.008138862598762e-06
JTT6,4,4,same-level,0.05,0.5,1.0000000000000009,1.2329221998048716,1.008138862598762e-06
JTT6,4,4,same-level,0.05,1.0,0.9999999999999932,1.2247038232527707,1.008138862598762e-06
JTT6,4,4,same-level,0.1,0.25,1.0000000143213887,1.1150662573753383,2.009150878806709e-06
JTT6,4,4,same-level,0.1,0.5,1.0000000000000069,1.081783454393981,2.009150878806709e-06
JTT6,4,4,same-level,0.1,1.0,0.9999999999999986,1.0720671491731497,2.009150878806709e-06
JTT6,4,4,same-level,0.4,0.25,1.0000006005221134,1.0345787978044592,7.658344207073231e-06
JTT6,4,4,same-level,0.4,0.5,1.0000000000000049,1.0206218906819213,7.658344207073231e-06
JTT6,4,4,same-level,0.4,1.0,1.0000000000000004,1.011490083941043,7.658344207073231e-06
JTT6,4,4,2:1,0.0,0.25,1.002512859042237,21.74488504223025,0.010038828364482916
JTT6,4,4,2:1,0.0,0.5,1.0050320325450042,98.51772361235011,0.010038828364482916
JTT6,4,4,2:1,0.0,1.0,1.0100893864407614,1014.2026413436029,0.010038828364482916
JTT6,4,4,2:1,0.05,0.25,1.0001793409395827,4.106991985908623,0.0007194357664113069
JTT6,4,4,2:1,0.05,0.5,1.0003265656940223,5.541100929714873,0.0007194357664113069
JTT6,4,4,2:1,0.05,1.0,0.9999999999999946,5.4017190662258034,0.0007194357664113069
JTT6,4,4,2:1,0.1,0.25,1.000143044167765,3.901502012264627,0.0005742625923753908
JTT6,4,4,2:1,0.1,0.5,1.0002540203812311,4.575086516687719,0.0005742625923753908
JTT6,4,4,2:1,0.1,1.0,1.0000000000000036,4.513328047429852,0.0005742625923753908
JTT6,4,4,2:1,0.4,0.25,1.0001138462051935,3.55045804222258,0.00045781057799260116
JTT6,4,4,2:1,0.4,0.5,1.000190655441254,3.389075625582712,0.00045781057799260116
JTT6,4,4,2:1,0.4,1.0,1.000000000000004,3.213337111298119,0.00045781057799260116
JTT6,4,3,same-level,0.0,0.25,0.9999999999999987,4.2914007410226604,3.064688112275528e-09
JTT6,4,3,same-level,0.0,0.5,1.000000004108904,8.221819391872797,3.064688112275528e-09
JTT6,4,3,same-level,0.0,1.0,1.000000004041706,16.24569807888051,3.064688112275528e-09
JTT6,4,3,same-level,0.05,0.25,1.0000000046156778,1.305759305636309,1.008138862598762e-06
JTT6,4,3,same-level,0.05,0.5,1.0000000000000009,1.2329221998048716,1.008138862598762e-06
JTT6,4,3,same-level,0.05,1.0,0.9999999999999932,1.2247038232527707,1.008138862598762e-06
JTT6,4,3,same-level,0.1,0.25,1.0000000143213887,1.1150662573753383,2.009150878806709e-06
JTT6,4,3,same-level,0.1,0.5,1.0000000000000069,1.081783454393981,2.009150878806709e-06
JTT6,4,3,same-level,0.1,1.0,0.9999999999999986,1.0720671491731497,2.009150878806709e-06
JTT6,4,3,same-level,0.4,0.25,1.0000006005221134,1.0345787978044592,7.658344207073231e-06
JTT6,4,3,same-level,0.4,0.5,1.0000000000000049,1.0206218906819213,7.658344207073231e-06
JTT6,4,3,same-level,0.4,1.0,1.0000000000000004,1.011490083941043,7.658344207073231e-06
JTT6,4,3,2:1,0.0,0.25,1.0010784553908525,9.861995976322312,0.004311497102399038
JTT6,4,3,2:1,0.0,0.5,1.0021580738477287,25.215908529629733,0.004311497102399038
JTT6,4,3,2:1,0.0,1.0,1.0043208049781778,90.4843984502988,0.004311497102399038
JTT6,4,3,2:1,0.05,0.25,1.0001859324202362,5.283720381302638,0.0007457982103656058
